time	V(vout)
Step Information: Run=0  (Run: 1/65)
3.791753539588923e+000	4.987617e-003
3.791753671650444e+000	5.209141e-003
3.791753935773484e+000	5.867400e-003
3.791754001804245e+000	6.102658e-003
3.791754133865765e+000	6.786339e-003
3.791754253321292e+000	7.617649e-003
3.791754283185174e+000	7.915314e-003
3.791754342912937e+000	8.767515e-003
3.791754417241506e+000	1.037064e-002
3.791754479462513e+000	1.259990e-002
3.791754518418671e+000	1.497068e-002
3.791754544395165e+000	1.760958e-002
3.791754566533595e+000	2.126640e-002
3.791754585132726e+000	2.631284e-002
3.791754601282966e+000	3.370996e-002
3.791754615570235e+000	4.503611e-002
3.791754628819151e+000	6.358735e-002
3.791754642380105e+000	9.621666e-002
3.791754656576461e+000	1.501914e-001
3.791754674377891e+000	2.424255e-001
3.791754693791460e+000	3.609513e-001
3.791754716833485e+000	5.118456e-001
3.791754746225999e+000	7.094597e-001
3.791754805011028e+000	1.109693e+000
3.791754922581085e+000	1.913309e+000
3.791755028045292e+000	2.632265e+000
3.791755054411344e+000	2.807228e+000
3.791755107143447e+000	3.136851e+000
3.791755126275444e+000	3.243829e+000
3.791755126296209e+000	3.243961e+000
3.791755126379271e+000	3.244464e+000
3.791755126490020e+000	3.245051e+000
3.791755126711519e+000	3.246069e+000
3.791755127154517e+000	3.247844e+000
3.791755128040512e+000	3.251071e+000
3.791755129265783e+000	3.255178e+000
3.791755131716325e+000	3.262241e+000
3.791755136617410e+000	3.273223e+000
3.791755141769582e+000	3.281374e+000
3.791755146196288e+000	3.285884e+000
3.791755151292679e+000	3.289167e+000
3.791755155914582e+000	3.291114e+000
3.791755160805245e+000	3.292477e+000
3.791755167102975e+000	3.293654e+000
3.791755174925943e+000	3.294628e+000
3.791755183954023e+000	3.295355e+000
3.791755196817149e+000	3.296013e+000
3.791755211674959e+000	3.296486e+000
3.791755233858601e+000	3.296910e+000
